Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
838.5398	807.2188	15351.15	13559.45
838.685	809.2834	15212.4	13469.6
838.8302	811.3473	15159.95	13400.3
838.9754	813.4106	15026.45	13358.6
839.1206	815.4731	14989.15	13301.45
839.2658	817.5349	14927.75	13182.15
839.411	819.5961	14927.95	13135.05
839.5562	821.6566	14784.1	13048.4
839.7014	823.7163	14707.8	12962.1
839.8467	825.7754	14748.9	12846.65
839.9919	827.8338	14668.35	12826.6
840.1371	829.8915	14549.55	12773.65
840.2823	831.9485	14463.55	12733.2
840.4275	834.0048	14485.4	12679.75
840.5727	836.0604	14388.3	12587.45
840.7179	838.1153	14328.1	12565.75
840.8632	840.1695	14237.95	12504.85
841.0084	842.2231	14309.55	12446.65
841.1536	844.2759	14178.55	12355.55
841.2988	846.328	14176.9	12301.15
841.444	848.3795	13976.2	12197.55
841.5893	850.4302	13907.2	12179.1
841.7345	852.4802	13897.35	12135.6
841.8797	854.5296	13885.3	12047.55
842.0249	856.5782	13888.05	12026.6
842.1702	858.6262	13723.8	11926.6
842.3154	860.6734	13768.8	11930.1
842.4606	862.72	13592.55	11833.6
842.6058	864.7658	13469.5	11715.45
842.7511	866.811	13492.7	11670.35
842.8963	868.8555	13410	11580.95
843.0415	870.8992	13237.6	11479.05
843.1868	872.9423	13198.65	11413.6
843.332	874.9846	13188.35	11339.2
843.4772	877.0263	13092.45	11283.3
843.6225	879.0672	12960.05	11214.95
843.7677	881.1075	12860.95	11155.6
843.9129	883.1471	12854.05	11095.95
844.0581	885.1859	12819.7	11022.85
844.2034	887.2241	12795.3	10950.3
844.3486	889.2615	12627.2	10898.35
844.4938	891.2983	12550.45	10828.15
844.6391	893.3343	12401.65	10734.1
844.7843	895.3696	12384.05	10648.55
844.9295	897.4043	12467.25	10611.85
845.0747	899.4382	12375.2	10558.4
845.22	901.4715	12366	10509.65
845.3652	903.504	12319.85	10444
845.5104	905.5358	12219.75	10419.05
845.6557	907.5669	12166.45	10378.2
845.8009	909.5973	12143.15	10337.3
845.9461	911.6271	12429.75	10273.8
846.0913	913.6561	12261.4	10216.75
846.2366	915.6844	11962.65	10148.55
